timestamp,open,high,low,close,volume,datetime,smc_fvg,smc_fvg_top,smc_fvg_bottom,smc_fvg_mitigated_index,smc_swing_hl,smc_swing_level,smc_bos,smc_choch,smc_bos_level,smc_bos_broken_index,smc_ob,smc_ob_top,smc_ob_bottom,smc_ob_volume,smc_ob_mitigated_index,smc_ob_pct,smc_liquidity,smc_liq_level,smc_liq_end_index,smc_liq_swept_index,atrbot_trail1,atrbot_trail2,atrbot_trend,atrbot_buy,atrbot_sell,atrbot_atr,vsr_upper,vsr_lower,vsr_signal,vsr_spike
1760621400000,4043.8,4067.66,4039.6,4051.76,77441.345,2025-10-16 13:30:00,,,,,-1.0,4039.6,,,,,,,,,,,,,,,4051.76,3995.64,1,False,False,28.06,,,0.0,False
1760622300000,4051.77,4059.02,4001.36,4018.88,119256.347,2025-10-16 13:45:00,-1.0,4039.6,4024.77,4.0,,,,,,,,,,,,,,,,,4048.7709,3995.64,1,False,False,30.1743,,,0.0,False
1760623200000,4018.87,4024.77,3981.09,3985.53,116095.624,2025-10-16 14:00:00,-1.0,4001.36,3998.98,4.0,,,,,,,,,,,,,,,,,4043.0217,3995.64,1,False,False,31.139,,,0.0982,False
1760624100000,3985.53,3998.98,3965.26,3993.91,139340.37,2025-10-16 14:15:00,,,,,,,,,,,,,,,,,,,,,4039.56,3995.64,1,False,False,31.3233,,,0.7671,False
1760625000000,3993.92,4058.0,3993.0,4053.3,166351.654,2025-10-16 14:30:00,1.0,4009.43,3998.98,6.0,,,,,,,,,,,,,,,,,4039.5743,3995.64,1,False,False,33.7288,,,0.8563,False
1760625900000,4053.31,4055.95,4009.43,4013.83,95842.015,2025-10-16 14:45:00,,,,,,,,,,,,,,,,,,,,,4039.0626,3995.64,1,False,False,34.6425,,,2.0923,False
1760626800000,4013.83,4018.75,3982.41,4010.84,98476.55,2025-10-16 15:00:00,,,,,,,,,,,,,,,,,,,,,4038.4676,3995.64,1,False,False,34.7637,,,0.0942,False
1760627700000,4010.84,4012.56,3970.66,3977.13,77872.402,2025-10-16 15:15:00,,,,,,,,,,,,,,,,,,,,,4036.4876,3995.64,1,False,False,35.2735,,,0.7729,False
1760628600000,3977.14,3984.46,3942.71,3951.36,149005.224,2025-10-16 15:30:00,-1.0,3970.66,3952.51,13.0,,,,,,,,,,,,,,,,,4033.1944,3995.64,1,False,False,35.7361,,,3.3846,False
1760629500000,3951.36,3952.51,3890.0,3905.04,303449.768,2025-10-16 15:45:00,-1.0,3942.71,3912.85,13.0,,,,,,,,,,,,,,,,,4027.1385,3995.64,1,False,False,37.6485,,,2.7654,False
1760630400000,3905.03,3912.85,3868.84,3900.07,225717.188,2025-10-16 16:00:00,,,,,,,,,,,,,,,,,,,,,4021.0379,3995.64,1,False,False,38.1029,,,0.5734,False
1760631300000,3900.07,3908.45,3865.75,3877.2,131505.381,2025-10-16 16:15:00,,,,,,,,,,,,,,,,,,,,,4013.6771,3995.64,1,False,False,38.4312,,,0.896,False
1760632200000,3877.21,3907.27,3855.0,3892.53,163551.208,2025-10-16 16:30:00,,,,,,,,,,,,,,,,,,,,,4008.2884,3995.64,1,False,False,39.4197,,,0.5034,False
1760633100000,3892.53,3966.29,3883.26,3962.79,174491.952,2025-10-16 16:45:00,1.0,3924.07,3907.27,16.0,,,,,,,,,,,,,,,,,4007.3584,3995.64,1,False,False,42.5348,,,0.1383,False
1760634000000,3962.8,3963.32,3924.07,3926.76,145957.625,2025-10-16 17:00:00,,,,,,,,,,,,,,,,,,,,,4005.2369,3995.64,1,False,False,42.3001,,,0.3383,False
1760634900000,3926.75,3960.31,3925.46,3944.0,78905.45,2025-10-16 17:15:00,,,,,,,,,,,,,,,,,,,,,4004.235,3995.64,1,False,False,41.768,,,0.9384,False
1760635800000,3943.99,3952.61,3918.5,3925.38,52953.439,2025-10-16 17:30:00,,,,,,,,,,,,,,,,,,,,,4003.1606,3995.64,1,False,False,41.221,,,0.6667,False
1760636700000,3925.39,3933.59,3914.05,3920.15,55912.904,2025-10-16 17:45:00,,,,,,,,,,,,,,,,,,,,,4001.7628,3995.64,1,False,False,39.6723,,,0.1099,False
1760637600000,3920.14,3920.71,3876.0,3884.56,116643.139,2025-10-16 18:00:00,-1.0,3914.05,3907.1,20.0,,,,,,,,,,,,,,,,,3996.9607,3995.64,1,False,False,40.0322,,,2.1664,False
