timestamp,open,high,low,close,volume,datetime
1772626800000,649.3,649.3,647.77,647.97,2528.55,2026-03-04 12:20:00
1772627100000,647.97,648.71,646.68,646.83,3861.51,2026-03-04 12:25:00
1772627400000,646.82,648.35,646.12,648.34,5151.0,2026-03-04 12:30:00
1772627700000,648.35,649.37,646.83,649.07,4334.19,2026-03-04 12:35:00
1772628000000,649.07,649.92,648.54,649.51,3516.32,2026-03-04 12:40:00
1772628300000,649.52,650.48,648.83,650.42,5012.8,2026-03-04 12:45:00
1772628600000,650.42,650.68,649.56,649.9,2201.5,2026-03-04 12:50:00
1772628900000,649.89,651.1,649.45,650.82,3011.37,2026-03-04 12:55:00
1772629200000,650.82,651.5,650.48,651.04,2150.02,2026-03-04 13:00:00
1772629500000,651.03,652.55,650.88,651.84,4284.26,2026-03-04 13:05:00
1772629800000,651.83,652.36,650.52,650.92,2678.96,2026-03-04 13:10:00
1772630100000,650.93,651.69,650.57,650.97,2360.97,2026-03-04 13:15:00
1772630400000,650.98,651.65,650.67,651.0,1088.06,2026-03-04 13:20:00
1772630700000,651.0,653.88,651.0,652.65,6618.27,2026-03-04 13:25:00
1772631000000,652.64,653.15,651.9,652.62,3530.85,2026-03-04 13:30:00
1772631300000,652.61,652.93,651.72,652.93,2480.68,2026-03-04 13:35:00
1772631600000,652.92,652.95,652.05,652.3,2796.21,2026-03-04 13:40:00
1772631900000,652.31,652.93,652.13,652.67,1476.52,2026-03-04 13:45:00
1772632200000,652.67,653.17,652.23,652.96,1198.12,2026-03-04 13:50:00
1772632500000,652.97,654.32,652.78,653.58,4123.65,2026-03-04 13:55:00
1772632800000,653.58,654.25,653.27,653.78,3381.17,2026-03-04 14:00:00
1772633100000,653.78,655.44,653.29,653.66,6643.45,2026-03-04 14:05:00
1772633400000,653.66,654.58,653.55,654.34,3360.26,2026-03-04 14:10:00
1772633700000,654.34,655.39,652.34,652.62,6391.84,2026-03-04 14:15:00
1772634000000,652.62,652.78,651.37,651.62,2501.16,2026-03-04 14:20:00
1772634300000,651.62,652.49,650.33,651.71,7924.04,2026-03-04 14:25:00
1772634600000,651.71,657.86,650.38,655.94,21376.72,2026-03-04 14:30:00
1772634900000,655.95,656.08,650.3,652.46,10661.22,2026-03-04 14:35:00
