entry_price,exit_price,entry_bar,exit_bar,duration_bars,exit_reason,max_roe_pct,max_sl_pct,gross_pnl_pct,fee_pct,net_pnl_pct,net_profit_usd,is_win,symbol,strategy_mode,trade_type,direction,signal_bar,signal_datetime
0.2746,0.2691,145,332,188,TP,2.149,1.202,2.0,0.1,1.9,19.0,True,ADAUSDT,1,TREND,SELL,144,2026-03-05 00:20:00
0.2569,0.2518,1128,1162,35,TP,2.076,0.104,2.0,0.07,1.93,19.3,True,ADAUSDT,1,FADE,SELL,1126,2026-03-08 10:10:00
0.2491,0.2541,1189,1241,53,TP,2.007,0.522,2.0,0.07,1.93,19.3,True,ADAUSDT,1,FADE,BUY,1184,2026-03-08 15:00:00
0.2633,0.2609,2028,2180,153,REVERSE_SIGNAL,1.671,1.595,-0.912,0.1,-1.012,-10.12,False,ADAUSDT,1,TREND,BUY,2027,2026-03-11 13:15:00
0.259,0.2632,2187,2284,98,REVERSE_SIGNAL,1.847,0.508,1.615,0.07,1.545,15.45,True,ADAUSDT,1,FADE,BUY,2180,2026-03-12 02:00:00
0.2693,0.2639,2655,2708,54,TP,2.042,0.037,2.0,0.1,1.9,19.0,True,ADAUSDT,1,TREND,SELL,2654,2026-03-13 17:30:00
0.2689,0.2743,3292,3350,59,TP,4.054,0.446,2.0,0.1,1.9,19.0,True,ADAUSDT,1,TREND,BUY,3291,2026-03-15 22:35:00
0.2824,0.288,3663,3683,21,TP,2.018,0.283,2.0,0.07,1.93,19.3,True,ADAUSDT,1,FADE,BUY,3659,2026-03-17 05:15:00
0.2821,0.2765,4023,4034,12,TP,2.588,0.071,2.0,0.1,1.9,19.0,True,ADAUSDT,1,TREND,SELL,4022,2026-03-18 11:30:00
0.2617,0.2669,5459,5504,46,TP,2.025,1.911,2.0,0.1,1.9,19.0,True,ADAUSDT,1,TREND,BUY,5458,2026-03-23 11:10:00
0.2675,0.2621,5710,5744,35,TP,2.153,0.315,2.0,0.07,1.93,19.3,True,ADAUSDT,1,FADE,SELL,5706,2026-03-24 07:50:00
0.2472,0.2463,7373,7551,179,REVERSE_SIGNAL,1.2,2.279,0.351,0.07,0.281,2.81,True,ADAUSDT,1,FADE,SELL,7370,2026-03-30 02:30:00
0.2418,0.237,8225,8260,36,TP,2.151,0.744,2.0,0.1,1.9,19.0,True,ADAUSDT,1,TREND,SELL,8224,2026-04-02 01:40:00
0.2451,0.2465,8792,8986,195,REVERSE_SIGNAL,0.857,0.938,0.571,0.07,0.501,5.01,True,ADAUSDT,1,FADE,BUY,8784,2026-04-04 00:20:00
0.2428,0.2442,9142,9318,177,REVERSE_SIGNAL,1.252,1.343,0.593,0.07,0.523,5.23,True,ADAUSDT,1,FADE,BUY,9133,2026-04-05 05:25:00
0.2472,0.2521,9885,9905,21,TP,2.306,0.647,2.0,0.1,1.9,19.0,True,ADAUSDT,1,TREND,BUY,9884,2026-04-07 20:00:00
0.2565,0.2514,10427,10524,98,TP,2.066,1.793,2.0,0.07,1.93,19.3,True,ADAUSDT,1,FADE,SELL,10407,2026-04-09 15:35:00
0.255,0.253,10686,10808,123,REVERSE_SIGNAL,0.836,1.477,0.797,0.07,0.727,7.27,True,ADAUSDT,1,FADE,SELL,10684,2026-04-10 14:40:00
0.2527,0.2464,10809,10972,164,SL,0.95,2.533,-2.5,0.07,-2.57,-25.7,False,ADAUSDT,1,FADE,BUY,10808,2026-04-11 01:00:00
0.2552,0.2501,11030,11072,43,TP,2.221,0.287,2.0,0.07,1.93,19.3,True,ADAUSDT,1,FADE,SELL,11023,2026-04-11 18:55:00
0.2442,0.249,13884,13952,69,TP,2.355,0.143,2.0,0.07,1.93,19.3,True,ADAUSDT,1,FADE,BUY,13883,2026-04-21 17:15:00
0.2455,0.2504,14480,14542,63,TP,2.037,0.081,2.0,0.07,1.93,19.3,True,ADAUSDT,1,FADE,BUY,14471,2026-04-23 18:15:00
0.2511,0.2506,14544,15014,471,REVERSE_SIGNAL,1.652,1.055,0.219,0.07,0.149,1.49,True,ADAUSDT,1,FADE,SELL,14543,2026-04-24 00:15:00
0.2496,0.2515,15018,15195,178,REVERSE_SIGNAL,0.811,0.671,0.771,0.07,0.701,7.01,True,ADAUSDT,1,FADE,BUY,15014,2026-04-25 15:30:00
0.2481,0.2456,15690,15835,146,REVERSE_SIGNAL,1.303,0.228,1.021,0.07,0.951,9.51,True,ADAUSDT,1,FADE,SELL,15689,2026-04-27 23:45:00
0.2502,0.2483,17036,17153,118,REVERSE_SIGNAL,0.879,1.039,0.759,0.07,0.689,6.89,True,ADAUSDT,1,FADE,SELL,17017,2026-05-02 14:25:00
0.248,0.2503,17158,17280,123,REVERSE_SIGNAL,1.147,0.305,0.945,0.07,0.875,8.75,True,ADAUSDT,1,FADE,BUY,17153,2026-05-03 01:45:00
0.2532,0.2481,17452,17541,90,TP,2.212,0.711,2.0,0.07,1.93,19.3,True,ADAUSDT,1,FADE,SELL,17449,2026-05-04 02:25:00
0.2641,0.2707,18699,18781,83,SL,0.555,2.777,-2.5,0.07,-2.57,-25.7,False,ADAUSDT,1,FADE,SELL,18696,2026-05-08 10:20:00
0.2732,0.2801,19256,19337,82,SL,0.823,3.385,-2.5,0.07,-2.57,-25.7,False,ADAUSDT,1,FADE,SELL,19254,2026-05-10 08:50:00
0.2529,0.2487,21716,21876,161,REVERSE_SIGNAL,1.796,0.181,1.677,0.07,1.607,16.07,True,ADAUSDT,1,FADE,SELL,21705,2026-05-18 21:05:00
0.2475,0.2525,22398,22525,128,TP,2.13,0.859,2.0,0.07,1.93,19.3,True,ADAUSDT,1,FADE,BUY,22392,2026-05-21 06:20:00
0.2529,0.2491,22536,22785,250,REVERSE_SIGNAL,1.677,0.616,1.519,0.07,1.449,14.49,True,ADAUSDT,1,FADE,SELL,22528,2026-05-21 17:40:00
0.2389,0.2329,23965,24371,407,SL,1.898,2.582,-2.5,0.07,-2.57,-25.7,False,ADAUSDT,1,FADE,BUY,23964,2026-05-26 17:20:00
0.2343,0.2326,24533,24769,237,REVERSE_SIGNAL,1.408,0.854,-0.726,0.1,-0.826,-8.26,False,ADAUSDT,1,TREND,BUY,24532,2026-05-28 16:40:00
0.2379,0.2346,24932,25012,81,REVERSE_SIGNAL,1.814,0.624,1.394,0.07,1.324,13.24,True,ADAUSDT,1,FADE,SELL,24923,2026-05-30 01:15:00
