symbol,direction,signal_index,signal_datetime,entry_price,max_roe_pct,max_stoploss_pct,net_pnl_pct,duration_bars,label,atr_pct_of_price,trail_gap_pct,price_vs_trail2_pct,trend_age_bars,trend_age_bucket,candle_body_pct,is_bullish_candle,volume_ratio,high_volume,fvg_at_signal,fvg_direction,fvg_aligned,fvg_counter,recent_bullish_fvg_count,recent_bearish_fvg_count,fvg_aligned_window,fvg_counter_window,ob_at_signal,ob_bullish,ob_bearish,ob_aligned,ob_counter,price_inside_ob,recent_bull_bos,recent_bear_bos,recent_bull_choch,recent_bear_choch,bos_confirmed_direction,choch_confirmed_direction,bos_choch_any,recent_swing_high,recent_swing_low,swing_aligned,liq_at_signal,recent_bsl,recent_ssl,unswept_liq_against_trade,has_liq_trap,vsr_spike_at_signal,vsr_signal_strength,recent_vsr_spikes,vsr_active_zone,price_inside_vsr,vsr_zone_width_pct,atr_expansion,tight_trail_gap,wide_trail_gap
ADAUSDT,SELL,444,2025-10-21 04:30:00,0.6412,0.733,6.862,-6.472,44,lose,0.577,1.154,-3.711,0,fresh,80.3,False,1.76,True,True,bearish,True,False,0,5,True,False,False,False,False,False,False,False,0,0,0,0,False,False,False,0,0,False,False,0,0,0,False,False,0.27,0,True,False,2.308,True,False,False
ADAUSDT,BUY,488,2025-10-21 15:30:00,0.6827,0.161,6.65,-6.064,40,lose,0.952,1.904,5.844,0,fresh,10.3,True,1.31,False,False,none,False,False,5,0,True,False,False,False,False,False,False,False,0,0,0,0,False,False,False,1,0,False,False,1,0,0,False,False,0.46,0,True,False,2.168,True,False,True
ADAUSDT,BUY,1941,2025-11-05 18:45:00,0.5474,0.183,5.663,-4.147,90,lose,0.712,1.443,3.27,0,fresh,20.9,True,0.79,False,False,none,False,False,1,0,True,False,False,False,False,False,False,False,0,0,0,0,False,False,False,1,0,False,False,0,0,0,False,False,0.29,0,True,False,4.421,True,False,False
ADAUSDT,SELL,2031,2025-11-06 17:15:00,0.5247,1.048,8.672,-8.005,94,lose,0.896,1.792,-3.355,0,fresh,44.4,True,0.77,False,False,none,False,False,2,3,True,False,False,False,False,False,False,False,0,0,0,0,False,False,False,0,1,False,False,0,1,0,False,False,1.07,0,True,False,4.613,True,False,True
ADAUSDT,BUY,2594,2025-11-12 14:00:00,0.5798,0.052,6.106,-6.037,12,lose,0.5,1.018,2.605,0,fresh,12.9,True,1.24,False,False,none,False,False,5,0,True,False,False,False,False,False,False,False,0,0,0,0,False,False,False,1,0,False,False,0,0,0,False,False,0.2,0,True,False,4.175,False,False,False
ADAUSDT,SELL,2606,2025-11-12 17:00:00,0.5448,1.083,4.901,-3.377,77,lose,0.954,1.927,-5.341,0,fresh,75.0,False,1.5,False,True,bearish,True,False,2,6,True,False,False,False,False,False,False,False,0,0,0,0,False,False,False,1,0,True,False,0,0,0,False,False,0.86,0,True,False,4.442,True,False,True
ADAUSDT,BUY,2683,2025-11-13 12:15:00,0.5632,0.959,6.214,-6.072,22,lose,0.586,1.172,1.598,0,fresh,44.4,True,1.03,False,False,none,False,False,2,3,False,True,False,False,False,False,False,False,0,0,0,0,False,False,False,1,0,False,False,0,0,0,False,False,0.36,0,True,True,4.297,True,False,False
ADAUSDT,SELL,3840,2025-11-25 13:30:00,0.4114,1.702,5.907,-5.688,117,lose,0.608,1.191,-3.135,0,fresh,74.0,False,1.77,True,True,bearish,True,False,0,2,True,False,False,False,False,False,False,False,0,0,0,0,False,False,False,0,0,False,False,0,0,0,False,False,0.44,1,True,True,7.047,True,False,False
ADAUSDT,BUY,3957,2025-11-26 18:45:00,0.4348,0.943,3.082,-2.438,130,lose,0.736,1.495,4.461,0,fresh,83.9,True,0.64,False,False,none,False,False,5,0,True,False,False,False,False,False,False,False,0,0,0,0,False,False,False,0,1,True,False,0,0,0,False,False,0.88,0,True,False,6.668,True,False,False
ADAUSDT,BUY,6816,2025-12-26 13:30:00,0.3566,0.337,3.561,-3.477,13,lose,0.365,0.729,1.739,0,fresh,41.7,True,1.13,False,False,none,False,False,1,0,True,False,False,False,False,False,False,False,0,0,0,0,False,False,False,0,0,False,False,0,0,0,False,False,0.04,1,True,True,5.412,False,False,False
ADAUSDT,SELL,6829,2025-12-26 16:45:00,0.3442,0.029,4.271,-3.719,77,lose,0.581,1.162,-2.963,0,fresh,71.9,False,1.24,False,False,none,False,False,0,3,True,False,False,False,False,False,False,False,1,0,0,0,False,False,True,1,1,False,False,0,0,0,False,False,0.37,1,True,True,5.607,True,False,False
ADAUSDT,SELL,7036,2025-12-28 20:30:00,0.3634,0.413,4.568,-3.632,23,lose,0.44,0.853,-1.706,0,fresh,22.2,True,0.37,False,False,none,False,False,0,5,True,False,False,False,False,False,False,False,0,0,0,1,False,True,True,0,1,False,False,0,0,0,False,False,0.1,0,True,True,8.611,False,False,False
ADAUSDT,BUY,8405,2026-01-12 02:45:00,0.4018,0.423,5.077,-4.878,44,lose,0.772,1.568,3.933,0,fresh,61.1,True,1.61,True,True,bullish,True,False,3,0,True,False,False,False,False,False,False,False,0,0,0,1,False,False,True,0,1,True,False,0,0,0,False,False,3.16,1,True,False,1.319,True,False,True
ADAUSDT,SELL,8449,2026-01-12 13:45:00,0.3822,0.262,6.306,-6.253,104,lose,0.549,1.099,-2.957,0,fresh,41.2,False,1.39,False,False,none,False,False,0,2,True,False,False,False,False,False,False,False,0,0,0,0,False,False,False,0,0,False,False,0,0,0,False,False,0.35,1,True,True,1.753,True,False,False
ADAUSDT,BUY,9348,2026-01-21 22:30:00,0.3684,0.299,4.235,-3.8,160,lose,0.896,1.819,3.692,0,fresh,38.1,False,0.72,False,False,none,False,False,3,0,True,False,False,False,False,False,False,False,0,0,0,0,False,False,False,1,0,False,False,0,0,0,False,False,0.37,0,True,False,1.629,True,False,True
ADAUSDT,BUY,10494,2026-02-02 21:00:00,0.3004,1.498,6.258,-4.727,170,lose,0.666,1.332,2.863,0,fresh,60.0,True,1.02,False,False,none,False,False,1,1,False,False,False,False,False,False,False,False,0,0,0,0,False,False,False,1,0,False,False,0,0,0,False,False,0.9,0,True,False,4.394,True,False,False
ADAUSDT,BUY,12201,2026-02-20 15:45:00,0.2888,1.697,4.709,-4.571,149,lose,1.039,2.078,6.614,0,fresh,96.6,True,1.99,True,True,bullish,True,False,5,2,True,False,False,False,False,False,False,False,0,0,0,0,False,False,False,0,1,True,False,0,0,0,False,False,0.27,0,True,False,0.658,True,False,True
ADAUSDT,BUY,12477,2026-02-23 12:45:00,0.2736,0.183,4.934,-4.678,29,lose,0.548,1.096,2.924,0,fresh,35.7,False,1.0,False,False,none,False,False,5,1,True,False,False,False,False,False,False,False,0,0,0,0,False,False,False,1,0,False,False,0,0,0,False,False,0.58,0,True,False,2.997,True,False,False
ADAUSDT,SELL,13082,2026-03-01 20:00:00,0.2709,0.997,6.423,-6.312,80,lose,0.775,1.551,-4.062,0,fresh,89.7,False,2.01,True,True,bearish,True,False,3,3,False,False,False,False,False,False,False,False,0,0,0,0,False,False,False,0,0,False,False,0,0,0,False,False,2.44,1,True,False,2.622,True,False,True
