symbol,direction,signal_datetime,entry_price,max_roe_pct,max_stoploss_pct,duration_bars,atr_pct,trail_gap_pct,is_low_volatility,is_tight_gap,has_counter_fvg,has_recent_choch,has_recent_bos,quick_loss_under_10_bars
AVAXUSDT,BUY,2026-06-11 18:45:00,6.646,1.896,1.986,270,0.685,1.369,False,False,False,False,False,False
AVAXUSDT,SELL,2026-06-22 00:15:00,6.149,0.0,4.44,50,0.561,1.12,False,False,True,False,False,False
AVAXUSDT,BUY,2026-06-23 21:45:00,6.426,1.774,5.182,77,0.666,1.331,False,False,False,False,False,False
AVAXUSDT,SELL,2026-06-25 13:45:00,5.974,0.285,9.19,110,1.065,2.129,False,False,False,False,False,False
AVAXUSDT,SELL,2026-06-27 22:00:00,6.379,1.771,4.405,123,0.476,0.955,False,False,False,False,False,False
AVAXUSDT,BUY,2026-07-18 02:00:00,6.624,0.543,2.295,134,0.347,0.693,True,False,False,False,False,False
AVAXUSDT,SELL,2026-07-19 11:30:00,6.494,1.678,2.402,93,0.314,0.63,True,False,True,False,False,False
AVAXUSDT,SELL,2026-07-22 06:00:00,6.477,0.232,2.733,49,0.398,0.795,False,False,False,False,False,False
AVAXUSDT,BUY,2026-07-28 21:30:00,6.618,0.302,4.745,32,0.428,0.854,False,False,False,False,False,False
AVAXUSDT,SELL,2026-08-03 04:45:00,6.408,0.687,2.747,57,0.429,0.857,False,False,True,False,False,False
AVAXUSDT,BUY,2026-08-09 17:45:00,6.546,0.611,2.872,114,0.278,0.554,True,False,False,False,False,False
BNBUSDT,BUY,2025-11-07 08:15:00,968.98,0.042,4.039,21,0.45,0.901,False,False,True,False,False,False
BNBUSDT,BUY,2025-11-15 19:00:00,944.19,0.677,3.07,86,0.311,0.623,True,False,False,False,False,False
BNBUSDT,SELL,2025-11-25 15:00:00,842.76,0.327,5.323,105,0.486,0.972,False,False,False,False,False,False
BNBUSDT,SELL,2025-11-29 00:15:00,885.88,1.956,1.239,150,0.299,0.598,True,False,True,False,False,False
BNBUSDT,SELL,2025-12-07 14:45:00,874.0,0.356,3.705,22,0.375,0.75,False,False,True,False,False,False
BNBUSDT,BUY,2025-12-11 23:30:00,888.2,1.882,1.967,262,0.417,0.835,False,False,False,False,False,False
BNBUSDT,SELL,2026-01-01 12:15:00,857.24,0.075,1.593,85,0.164,0.328,True,True,False,False,False,False
BNBUSDT,SELL,2026-01-15 20:45:00,925.94,0.229,1.959,150,0.363,0.726,False,False,False,False,False,False
BNBUSDT,BUY,2026-01-22 10:30:00,897.49,0.924,2.114,229,0.225,0.45,True,True,False,False,False,False
BNBUSDT,SELL,2026-02-15 17:45:00,613.92,1.583,2.829,123,0.452,0.903,False,False,False,False,False,False
BNBUSDT,BUY,2026-02-23 13:30:00,611.82,0.026,3.643,58,0.395,0.79,False,False,True,True,False,False
BNBUSDT,SELL,2026-03-03 10:45:00,625.46,0.777,4.646,89,0.464,0.929,False,False,False,False,False,False
BNBUSDT,BUY,2026-03-28 20:45:00,617.71,0.028,1.308,68,0.149,0.299,True,True,True,False,False,False
BNBUSDT,BUY,2026-03-30 08:00:00,620.16,0.256,2.515,101,0.316,0.632,True,False,True,False,False,False
BNBUSDT,SELL,2026-04-08 16:30:00,606.41,1.529,1.029,206,0.317,0.634,True,False,True,False,False,False
BNBUSDT,SELL,2026-04-23 02:45:00,635.09,1.25,0.912,358,0.279,0.558,True,False,False,False,False,False
