symbol,orig_direction,rev_direction,signal_index,entry_index,entry_price,exit_price,duration_bars,rev_max_roe_pct,rev_max_sl_pct,rev_net_pnl_pct,rev_label
AVAXUSDT,BUY,SELL,28376,28377,6.515,6.477,136,1.335,0.982,0.583,lose
AVAXUSDT,SELL,BUY,28511,28512,6.48,6.54,19,1.682,0.108,0.926,lose
AVAXUSDT,SELL,BUY,28977,28978,6.355,6.484,61,2.502,0.173,2.03,win
AVAXUSDT,BUY,SELL,29891,29892,7.638,7.597,108,3.247,0.144,0.537,win
BNBUSDT,BUY,SELL,169,170,1118.02,1085.11,103,4.501,0.563,2.944,win
BNBUSDT,SELL,BUY,271,272,1069.44,1127.32,29,5.497,0.035,5.412,win
BNBUSDT,BUY,SELL,299,300,1120.11,1096.05,107,2.968,2.02,2.148,win
BNBUSDT,SELL,BUY,782,783,1100.82,1124.63,167,2.881,0.074,2.163,win
BNBUSDT,SELL,BUY,2112,2113,935.47,979.61,23,5.268,1.032,4.718,win
BNBUSDT,SELL,BUY,2413,2414,979.49,945.37,490,2.996,9.333,-3.483,win
BNBUSDT,SELL,BUY,2988,2989,917.27,935.49,201,2.537,3.619,1.986,win
BNBUSDT,BUY,SELL,3188,3189,936.54,892.27,87,4.929,0.567,4.727,win
BNBUSDT,BUY,SELL,4321,4322,896.82,841.33,43,6.336,0.394,6.187,win
BNBUSDT,BUY,SELL,4948,4949,895.04,880.73,50,2.735,0.379,1.599,win
BNBUSDT,BUY,SELL,5019,5020,905.26,892.03,122,2.648,0.942,1.461,win
BNBUSDT,SELL,BUY,5140,5141,893.66,923.75,57,3.805,1.325,3.367,win
BNBUSDT,BUY,SELL,5196,5197,921.75,891.3,43,3.711,0.738,3.303,win
BNBUSDT,SELL,BUY,5238,5239,891.13,886.29,179,2.761,3.583,-0.543,win
BNBUSDT,SELL,BUY,5678,5679,883.61,873.11,216,1.408,4.849,-1.188,lose
BNBUSDT,BUY,SELL,5893,5894,874.05,859.72,50,2.119,0.262,1.639,win
BNBUSDT,SELL,BUY,6502,6503,849.27,846.52,173,0.5,1.639,-0.324,lose
BNBUSDT,BUY,SELL,6674,6675,846.5,838.0,38,1.317,0.214,1.004,lose
BNBUSDT,SELL,BUY,6711,6712,838.2,840.22,182,1.11,2.051,0.241,lose
BNBUSDT,BUY,SELL,6892,6893,841.8,852.3,207,0.513,3.677,-1.247,lose
BNBUSDT,SELL,BUY,7098,7099,848.05,861.03,115,1.96,0.196,1.531,lose
BNBUSDT,SELL,BUY,7979,7980,902.0,900.24,228,0.373,2.993,-0.195,lose
BNBUSDT,BUY,SELL,8206,8207,899.78,902.64,175,0.123,2.025,-0.318,lose
BNBUSDT,SELL,BUY,8380,8381,901.37,912.22,170,1.588,0.811,1.204,lose
BNBUSDT,BUY,SELL,8915,8916,942.75,913.22,152,4.464,1.883,3.132,win
BNBUSDT,SELL,BUY,9625,9626,888.59,883.33,218,0.171,3.664,-0.592,lose
BNBUSDT,BUY,SELL,9842,9843,882.96,891.92,238,0.649,3.06,-1.015,lose
BNBUSDT,BUY,SELL,10534,10535,780.16,749.44,48,5.624,0.464,3.938,win
BNBUSDT,BUY,SELL,10864,10865,665.07,634.51,66,4.95,0.514,4.595,win
BNBUSDT,BUY,SELL,11388,11389,615.58,596.06,104,3.782,0.846,3.171,win
BNBUSDT,SELL,BUY,11491,11492,593.18,614.28,47,4.381,0.101,3.557,win
BNBUSDT,BUY,SELL,11537,11538,615.9,614.25,193,0.95,4.351,0.268,lose
BNBUSDT,BUY,SELL,11852,11853,626.46,614.9,69,2.754,0.884,1.845,win
BNBUSDT,SELL,BUY,14253,14254,653.16,660.21,115,1.237,0.488,1.079,lose
BNBUSDT,BUY,SELL,15165,15166,644.92,629.6,69,2.758,0.699,2.375,win
BNBUSDT,SELL,BUY,15233,15234,629.24,639.26,84,1.955,0.41,1.592,lose
BNBUSDT,BUY,SELL,15316,15317,639.88,635.27,113,1.017,2.079,0.72,lose
BNBUSDT,SELL,BUY,15919,15920,605.54,617.43,55,2.393,1.146,1.964,win
BNBUSDT,BUY,SELL,15973,15974,617.22,596.88,111,3.333,0.881,3.295,win
BNBUSDT,SELL,BUY,16561,16562,597.46,610.28,78,2.767,0.877,2.146,win
BNBUSDT,BUY,SELL,16638,16639,612.19,605.61,79,1.753,2.155,1.075,lose
BNBUSDT,BUY,SELL,16922,16923,609.92,595.85,120,3.228,0.762,2.307,win
BNBUSDT,SELL,BUY,17041,17042,593.81,605.53,153,2.046,0.781,1.974,win
BNBUSDT,SELL,BUY,17656,17657,632.27,629.25,216,0.465,2.709,-0.478,lose
BNBUSDT,BUY,SELL,17871,17872,629.4,635.29,231,0.68,4.05,-0.936,lose
BNBUSDT,BUY,SELL,18459,18460,635.57,626.66,44,1.611,0.757,1.402,lose
BNBUSDT,SELL,BUY,18502,18503,626.41,628.13,206,0.557,1.221,0.275,lose
